Longitude,Latitude,Dump Site Name,State/Province
-119.42741200000002,49.88335,KELONA DUMP water Canadian Tire,BC
-120.822483,56.229997,Fort St. John,BC
-117.651292,49.295927,Castlegar,BC
-122.433209,49.079069,Abbotsford Bradner rest area,BC
-124.055481,49.238914,VANCOUVER ISLAND DUMP GAS behind Mid Island Co-op,BC
-124.805549,49.240039,VANCOUVER ISLAND DUMP,BC
-118.21321699999999,51.008886,good water municipal Public RV Dump Revelstoke,BC
-119.27098600000001,50.285392,Vernon (Buy Gas),BC
-127.593304,55.247642000000006,New Hazelton,BC
-128.583267,54.512530000000005,Terrace,BC
-119.603624,49.490964,Penticton Canadian Tire,BC
-121.99426499999998,49.144889,Chilliwack,BC
-124.983172,49.677981,Courtenay,BC
-120.222371,55.741162,Dawson Creek Canadian Tire,BC
-124.783924,49.265028,Port Alberni Canadian Tire,BC
-127.15446399999999,54.773621999999996,Smithers Canadian Tire,BC
-111.55327,37.016493,Lake Powell free with pass,AZ
-125.024297,49.625331,Cumberland,BC
-115.05461499999998,49.524985,Fernie,BC
-126.045795,49.782257,Gold River,BC
-121.29348200000001,51.648601,100 Mile House,BC
-122.717008,58.804641000000004,Fort Nelson,BC
-124.841082,54.055627,Fraser Lake,BC
-123.52030500000001,49.407194,Gibsons,BC
-118.46044099999999,49.02667,Grand Forks,BC
-126.64411299999999,54.40215799999999,Houston,BC
-120.119522,50.661326,Kamloops,BC
-120.357677,50.681942,Kamloops,BC
-120.36816200000001,50.654509000000004,Kamloops,BC
-120.35690100000001,50.711901,Kamloops,BC
-116.445591,51.419818,Field,BC
-117.281201,49.192916,Salmo,BC
-116.50715,49.092852,Creston,BC
-123.134441,49.736371999999996,Squamish,BC
-122.81653,53.85694300000001,Prince George (buy gas),BC
-115.74451,49.534008,Cranbrook,BC
-128.583177,54.51255,Terrace,BC
-119.81965,49.204256,Keremeos,BC
-119.49823500000001,49.038357,Keremeos,BC
-124.061646,48.818532,Lake Cowichan,BC
-120.82201699999999,50.48984,Logan Lake,BC
-123.092956,55.323999,McKenzie,BC
-120.7618,50.122026,Merritt,BC
-120.793931,50.105034,Merritt,BC
-119.498297,49.038340000000005,Osoyoos,BC
-122.315003,49.130725,Mission,BC
-123.037636,50.087484,Whistler,BC
-122.179367,49.055015999999995,Abbotsford Cole Rest Area,BC
-122.80003700000002,50.317063,Pemberton,BC
-127.48966399999999,50.430569,Port Alice,BC
-130.291554,54.219955000000006,Port Edward,BC
-121.775223,49.239241,Agassiz,BC
-122.794973,53.907475,Prince George,BC
-122.779152,53.868289000000004,Prince George,BC
-122.49623700000001,52.973973,Quesnel,BC
-125.95993100000001,50.37943,Sayward,BC
-127.166829,54.782692000000004,Smithers,BC
-121.01821000000001,55.12034,Tumbler Ridge,BC
-121.00540500000001,55.139943,Tumbler Ridge,BC
-124.01020700000001,54.024072,Vanderhoof $2,BC
-122.13188899999999,52.123787,Williams Lake,BC
-129.986132,55.936028,Stewart,BC
-128.58326200000002,54.512668000000005,Terrace,BC
-124.26448899999998,54.447807999999995,Fort St. James,BC
-121.65224199999999,55.692342000000004,Chetwynd,BC
-120.684331,56.152961,Taylor,BC
-127.494219,50.714928,Port Hardy,BC
-123.279693,52.08331,Alexis Creek,BC
-125.284219,50.014258,Campbell River (Buy Gass),BC
-124.79428600000001,49.263969,Port Alberni (buy gass),BC
-121.775225,49.239247999999996,Agassiz,BC
-118.87386599999999,34.825072,I-5 TEJON PASS REST AREA NB,CA
-118.86926299999999,34.830213,I-5 TEJON PASS REST AREA SB,CA
-125.76254899999999,54.226552000000005,Burns lake,BC
-117.445031,33.275376,I-5 ALISO CREEK REST AREA SB,CA
-117.43368400000001,33.26638,I-5 ALISO CREEK REST AREA NB,CA
-115.66955700000001,32.773922999999996,I-8 SUNBEAM REST AREA EB WB,CA
-119.32290800000001,36.104888,SR-99 PHILIP S RAINE REST AREA NB,CA
-119.323936,36.111511,SR-99 PHILIP S RAINE REST AREA SB,CA
-124.15086000000001,41.120703000000006,US-101 TRINIDAD REST AREA NB,CA
-122.209225,39.590142,I-5 WILLOWS REST AREA NB,CA
-122.209441,39.595296000000005,I-5 WILLOWS REST AREA SB,CA
-123.548947,40.882326,SR-299 FRANCIS B MATHEWS REST AREA EB WB,CA
-121.32133200000001,37.581781,I-5 WESTLY REST AREA NB,CA
-121.325249,37.584164,I-5 WESTLY REST AREA SB,CA
-115.522201,33.082372,TWO RIVERS SAFETY ROADSIDE REST AREA,CA
-122.252802,38.093378,Vallejo (at the gate and dial 001),CA
-121.539023,38.617262,SACRAMENTO 49ER TRAVEL PLAZA DUMP,CA
-119.56456200000001,37.739007,YOSEMITE Dump,CA
-118.80051999999999,36.515234,SEQUOYA NTL PARK DUMP clean WATER,CA
-116.866606,34.944061,CALLICO Ghost Town,CA
-116.080633,35.262253,GAS DUMP en arriere parking,CA
-123.74753799999999,41.967106,Patrick Creek Rest Area,CA
-115.12745100000001,36.217871,LAS VEGAS DUMP,CA
-117.21876499999999,32.764390999999996,San Diego South Shores Boat Launch,CA
-116.98539299999999,33.743708000000005,Hemet Trailer Supply $,CA
-116.198847,33.717346,INDIO,CA
-118.07541299999998,34.664494,City of Lancaster National Soccer Field,CA
-117.39945300000001,34.410692,Oak Hills,CA
-121.473651,41.955037,Tulelake,CA
-117.557048,33.882504,Corona Wastewater Treatment Plan,CA
-121.42010800000001,37.765275,Tracy,CA
-114.597021,33.592859999999995,Blythe $7,CA
-121.910983,36.598971,Monterey,CA
-117.209073,32.789372,San Diago,CA
-119.684179,34.421328,Santa Barbara,CA
-119.647585,36.298390000000005,Hanford,CA
-121.696104,38.550959999999996,Davis,CA
-120.63217399999999,35.123535,Grover Beach,CA
-117.39354499999999,33.205102000000004,Oceanside,CA
-106.591518,39.646712,I-70 EDWARDS REST AREA,CO
-102.26141899999999,39.297137,I-70 BURLINGTON WELCOME CENTER WB,CO
-103.18063599999999,40.620834,I-76 STERLING REST EB WB,CO
-103.401038,38.03802,US-50 OTERO COUNTY REST AREA EB/WB,CO
-102.05402,38.050579,US-50 HOLLY REST AREA EB/WB,CO
-108.73604099999999,39.153527000000004,I-70 FRUITA Welcome Center Park,CO
-105.5087,39.742047,COLORADO SPRINGS (welcome center),CO
-106.63808799999998,37.669973,South Fork,CO
-102.2507,40.966671999999996,JULESBURG (welcome center),CO
-108.07197099999999,38.742512,Delta,CO
-106.944891,38.534946000000005,Gunnison,CO
-105.270016,40.223678,LIONS Sandsone Park,CO
-107.87923300000001,37.261617,Durango,CO
-105.00193,40.589397999999996,Fort Collins,CO
-104.829205,37.605068,Walsenburg in park,CO
-107.778566,39.525328,I-70 RIFLE VISITOR INFO REST AREA EB WB,CO
-108.588334,37.369284,CORTEZ DUMP water,CO
-108.91328100000001,37.765931,DUMP gas,CO
-104.86836000000001,39.405054,Castle Rock Service Center,CO
-106.35240800000001,37.684083,Del Norte,CO
-108.074845,38.749957,Delta,CO
-106.115319,37.569464,Monte Vista Co-op,CO
-110.713264,38.573313,Grand Junction,CO
-103.749049,38.214578,Ordway,CO
-104.745091,38.333166,Pueblo West Shell,CO
-103.718141,38.053465,Rocky Ford Free With Fuel,CO
-108.68862,37.204941999999996,Towaoc $5,CO
-106.008424,38.524724,Salida,CO
-107.814626,39.217403000000004,Collbran,CO
-107.873461,37.949382,Telluride water treat plant,CO
-106.27798200000001,40.733009,Walden,CO
-105.46681699999999,38.130994,Westcliffe,CO
-105.126034,40.154973,Longmont,CO
-106.97708100000001,38.873495,Bute,CO
-107.91143100000001,40.035457,Meeker Public dump station,CO
-72.905541,41.573695,I-84 SOUTHINGTON REST AREA EB,CT
-72.293442,41.894874,I-84 WEST WILLINGTON REST AREA WB,CT
-73.51801999999999,41.388596,I-84 Connecticut Welcome Center EB WB,CT
-72.745329,41.550665,I-91 WALLINGFORD REST AREA NB,CT
-72.776372,41.464619,I-91 MIDDLETOWN REST AREA SB,CT
-72.623642,41.755759000000005,Cabellas,CT
-75.536401,39.188806,Dover Downs Casino,DE
-75.618719,38.633902,Seaford,DE
-81.96598399999999,28.040422999999997,Lakeland civic center,FL
-83.66672700000001,33.603745,I-20 MORGAN COUNTY REST AREA EB,GA
-83.573678,33.577489,I-20 MORGAN COUNTY REST AREA WB,GA
-82.338662,33.499127,I-20 COLUMBIA COUNTY REST AREA EB,GA
-82.32473900000001,33.498018,I-20 COLUMBIA COUNTY REST AREA WB,GA
-82.020482,33.527091999999996,I-20 WELCOME CENTER WB,GA
-83.75160100000001,32.864159,I-475 BIBB COUNTY REST AREA NB,GA
-84.945107,34.568425,I-75 North Georgia Rest Area SB,GA
-84.918933,34.405618,I-75 GORDON COUNTY REST AREA NB,GA
-83.763166,32.070713,I-75 DOOLY COUNTY REST AREA NB,GA
-83.745908,32.212164,I-75 DOOLY COUNTY REST AREA SB,GA
